Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,YearBuilt,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,G6ivArea,Fireplaces,GarageType,GarageCars,GarageArea,SaleCondition,SalePrice
105,50,8,21,7758,1,2,1931,2,600,224,0,816,1040,1226,592,0,1818,2,6,1,240,5,169500
106,60,3,75,9375,1,1,2003,4,768,0,0,1053,1053,1053,939,0,1992,1,2,2,648,1,250000
107,30,8,60,10800,1,1,1885,5,0,0,0,641,641,1047,0,0,1047,0,6,1,273,5,100000
108,20,8,50,6000,1,1,1948,2,0,104,169,516,789,789,0,0,789,0,6,1,250,6,115000
109,50,8,85,8500,1,2,1919,2,0,0,0,793,793,997,520,0,1517,0,7,0,0,5,115000
110,20,6,105,11751,2,1,1977,4,480,705,0,1139,1844,1844,0,0,1844,1,2,2,546,1,190000
111,50,6,75,9525,1,1,1954,2,0,444,0,550,994,1216,639,0,1855,0,2,1,325,1,136900
112,80,6,21,7750,2,1,2000,2,0,250,0,134,384,774,656,0,1430,1,4,2,400,1,180000
113,60,6,77,9965,1,1,2007,2,220,984,0,280,1264,1282,1414,0,2696,1,4,3,792,6,383970
114,20,6,21,21000,1,2,1953,4,184,35,869,905,1809,2259,0,0,2259,2,3,2,450,2,217000
115,70,6,61,7259,2,1,1945,3,0,774,150,104,1028,1436,884,0,2320,1,6,1,180,1,259500
116,160,3,34,3230,1,2,1999,2,1129,419,0,310,729,729,729,0,1458,1,6,2,440,1,176000
117,20,6,21,11616,1,1,1962,2,116,170,670,252,1092,1092,0,0,1092,1,2,1,288,1,139000
118,20,6,74,8536,1,2,2006,2,0,0,0,1125,1125,1125,0,0,1125,0,2,2,430,6,155000
119,60,6,90,12376,1,2,1990,4,0,1470,0,203,1673,1699,1523,0,3222,2,2,3,594,1,320000
120,60,6,65,8461,1,1,2005,2,0,0,0,728,728,728,728,0,1456,1,2,2,390,6,163990
121,80,6,21,21453,2,3,1969,1,0,938,0,0,938,988,0,0,988,2,2,2,540,1,180000
122,50,8,50,6060,1,1,1939,2,0,0,0,732,732,772,351,0,1123,0,6,1,264,5,100000
123,20,6,75,9464,1,2,1958,4,135,570,0,510,1080,1080,0,0,1080,0,2,1,288,1,136000
124,120,6,55,7892,1,1,1993,2,0,300,0,899,1199,1199,0,0,1199,0,2,2,530,1,153900
125,20,6,48,17043,2,3,1979,2,0,0,0,1362,1362,1586,0,0,1586,1,2,2,435,1,181000
126,190,8,60,6780,1,1,1935,2,0,490,0,30,520,520,0,234,754,0,7,0,0,5,84500
127,120,6,21,4928,2,1,1976,2,0,120,0,958,1078,958,0,0,958,1,2,2,440,1,128000
128,45,8,55,4388,2,1,1930,2,0,116,0,556,672,840,0,0,840,1,7,0,0,5,87000
129,60,6,69,7590,1,1,1966,2,266,512,0,148,660,660,688,0,1348,1,2,2,453,1,155000
130,20,6,69,8973,1,1,1958,2,85,567,28,413,1008,1053,0,0,1053,0,1,2,750,2,150000
131,60,6,88,14200,1,2,1966,2,309,445,0,479,924,1216,941,0,2157,2,2,2,487,1,226000
132,60,6,21,12224,2,2,2000,2,40,695,0,297,992,1022,1032,0,2054,1,4,2,390,1,244000
133,20,6,75,7388,1,2,1959,2,0,405,0,658,1063,1327,0,0,1327,0,6,2,624,1,150750
134,20,6,21,6853,2,1,2001,2,136,1005,0,262,1267,1296,0,0,1296,0,2,2,471,1,220000
135,20,6,78,10335,2,1,1968,2,0,570,0,891,1461,1721,0,0,1721,1,2,2,440,1,180000
136,20,6,80,10400,1,1,1970,4,288,0,0,1304,1304,1682,0,0,1682,1,2,2,530,1,174000
137,20,6,21,10355,2,2,1967,2,196,695,0,519,1214,1214,0,0,1214,1,2,1,318,1,143000
138,90,6,82,11070,1,1,1988,2,70,0,0,1907,1907,1959,0,0,1959,0,1,3,766,5,171000
139,60,6,73,9066,2,1,1999,2,320,668,0,336,1004,1004,848,0,1852,2,2,3,660,1,230000
140,60,6,65,15426,2,1,1997,2,0,821,0,107,928,928,836,0,1764,0,2,2,470,1,231500
141,20,6,70,10500,1,4,1971,2,0,432,0,432,864,864,0,0,864,1,7,0,0,1,115000
142,20,6,78,11645,1,1,2005,2,0,1300,0,434,1734,1734,0,0,1734,0,2,2,660,1,260000
143,50,6,71,8520,1,2,1952,2,0,507,0,403,910,910,475,0,1385,0,6,2,720,1,166000
144,20,6,78,10335,2,1,1999,2,183,679,0,811,1490,1501,0,0,1501,0,2,2,577,1,204000
145,90,8,70,9100,1,1,1963,2,336,1332,0,396,1728,1728,0,0,1728,0,6,2,504,1,125000
146,160,8,24,2522,1,1,2004,2,50,0,0,970,970,970,739,0,1709,0,6,2,380,5,130000
147,30,8,51,6120,1,2,1931,2,0,209,0,506,715,875,0,0,875,0,6,1,180,5,105000
148,60,6,21,9505,2,3,2001,2,180,0,0,884,884,884,1151,0,2035,1,4,2,434,1,222500
149,20,6,63,7500,1,1,2004,2,120,680,0,400,1080,1080,0,0,1080,0,7,0,0,1,141000
150,50,8,21,6240,1,1,1936,2,0,0,0,896,896,896,448,0,1344,0,6,1,240,5,115000
151,20,6,120,10356,1,2,1975,2,0,716,0,253,969,969,0,0,969,0,2,2,440,1,122000
152,20,6,107,13891,1,1,2007,4,436,1400,0,310,1710,1710,0,0,1710,1,2,3,866,6,372402
153,60,6,21,14803,2,3,1971,2,252,416,0,409,825,1097,896,0,1993,1,2,2,495,1,190000
154,20,6,21,13500,1,1,1960,1,0,429,1080,93,1602,1252,0,0,1252,1,2,2,564,1,235000
155,30,8,84,11340,1,2,1923,2,0,0,0,1200,1200,1200,0,0,1200,0,6,1,312,5,125000
156,50,6,60,9600,1,2,1924,2,0,0,0,572,572,572,524,0,1096,0,7,0,0,1,79000
157,20,6,60,7200,1,1,1950,4,0,0,0,0,0,1040,0,0,1040,0,6,2,625,1,109500
158,60,6,92,12003,1,2,2009,2,84,0,0,774,774,774,1194,0,1968,1,4,3,680,6,269500
159,60,3,100,12552,1,2,2004,2,0,222,0,769,991,991,956,0,1947,1,2,2,678,1,254900
160,60,6,134,19378,2,2,2005,2,456,57,0,1335,1392,1392,1070,0,2462,1,2,2,576,6,320000
161,20,6,21,11120,2,3,1984,2,0,660,0,572,1232,1232,0,0,1232,0,2,2,516,1,162500
162,60,6,110,13688,2,1,2003,2,664,1016,0,556,1572,1572,1096,0,2668,2,4,3,726,1,412500
163,20,6,95,12182,1,2,2005,2,226,1201,0,340,1541,1541,0,0,1541,1,2,2,532,6,220000
164,45,6,55,5500,1,1,1956,2,0,0,0,882,882,882,0,0,882,0,7,0,0,1,103200
165,40,8,40,5400,1,2,1926,2,0,370,0,779,1149,1149,467,0,1616,0,6,1,216,5,152000
166,190,6,62,10106,1,1,1940,2,0,351,181,112,644,808,547,0,1355,0,7,0,0,1,127500
167,20,6,21,10708,2,1,1955,4,0,379,768,470,1617,1867,0,0,1867,3,2,1,303,1,190000
168,60,6,86,10562,1,1,2007,2,300,1288,0,294,1582,1610,551,0,2161,1,2,3,789,6,325624
169,60,6,62,8244,2,1,2004,2,0,0,0,840,840,840,880,0,1720,1,2,2,440,1,183500
170,20,6,21,16669,2,2,1981,4,653,0,0,1686,1686,1707,0,0,1707,1,2,2,511,1,228000
171,50,8,21,12358,2,1,1941,2,0,360,0,360,720,854,0,528,1382,0,6,2,660,5,128500
172,20,6,141,31770,2,2,1960,4,112,639,0,441,1080,1656,0,0,1656,2,2,2,528,1,215000
173,160,6,44,5306,2,1,1987,2,0,495,215,354,1064,1064,703,0,1767,1,2,2,504,1,239000
174,20,6,80,10197,2,1,1961,2,491,288,374,700,1362,1362,0,0,1362,1,2,2,504,1,163000
175,20,6,47,12416,2,1,1986,2,132,1398,208,0,1606,1651,0,0,1651,1,2,2,616,1,184000
176,20,6,84,12615,1,2,1950,2,0,477,0,725,1202,2158,0,0,2158,1,2,2,576,1,243000
177,60,6,97,10029,2,2,1988,2,268,831,0,320,1151,1164,896,0,2060,1,2,2,521,1,211000
178,50,6,21,13650,1,1,1958,2,0,57,441,554,1052,1252,668,0,1920,1,2,2,451,1,172500
179,20,6,63,17423,2,3,2008,4,748,1904,0,312,2216,2234,0,0,2234,1,2,3,1166,6,501837
180,30,8,60,8520,1,1,1923,2,0,0,0,968,968,968,0,0,968,0,6,2,480,5,100000
181,160,3,21,2117,1,1,2000,2,456,436,0,320,756,769,756,0,1525,1,6,2,440,1,177000
182,70,6,54,7588,1,1,1920,2,0,352,0,441,793,901,901,0,1802,1,6,1,216,1,200100
183,20,6,60,9060,1,1,1957,4,98,0,0,0,0,1340,0,0,1340,1,2,1,252,1,120000
184,50,8,63,11426,1,1,2003,2,0,0,0,1362,1362,1362,720,0,2082,0,6,2,484,5,200000
185,50,6,92,7438,2,1,1908,2,0,0,0,504,504,936,316,0,1252,0,2,2,576,1,127000
186,75,8,90,22950,3,1,1892,2,0,0,0,1107,1107,1518,1518,572,3608,2,6,3,840,5,475000
187,80,6,21,9947,2,3,1990,2,0,611,0,577,1188,1217,0,0,1217,0,2,2,497,1,173000
188,50,6,60,10410,1,1,1916,2,0,0,0,660,660,808,704,144,1656,0,6,1,180,1,135000
189,90,6,64,7018,1,1,1979,2,275,1086,0,0,1086,1224,0,0,1224,2,6,2,528,4,153337
190,120,6,41,4923,1,1,2001,2,0,1153,0,440,1593,1593,0,0,1593,1,2,2,682,1,286000
191,70,6,70,10570,1,1,1932,4,0,297,0,556,853,1549,1178,0,2727,2,6,2,440,1,315000
192,60,6,21,7472,2,3,1972,2,138,626,0,99,725,725,754,0,1479,0,2,2,484,1,184000
193,20,6,68,9017,2,1,1999,2,0,560,0,871,1431,1431,0,0,1431,0,2,2,666,1,192000
194,160,8,24,2522,1,1,2004,2,50,0,0,970,970,970,739,0,1709,0,6,2,380,5,130000
195,20,6,60,7180,2,1,1972,4,0,390,0,474,864,864,0,0,864,0,6,1,352,1,127000
196,160,6,24,2280,1,4,1976,2,0,566,0,289,855,855,601,0,1456,1,2,2,440,1,148500
197,20,6,79,9416,1,1,2007,4,205,1126,0,600,1726,1726,0,0,1726,1,2,3,786,6,311872
198,75,6,174,25419,1,2,1918,2,0,1036,184,140,1360,1360,1360,392,3112,1,6,2,795,2,235000
199,75,8,92,5520,1,2,1912,2,0,0,0,755,755,929,929,371,2229,0,7,0,0,1,104000
200,20,6,76,9591,1,1,2004,4,262,1088,0,625,1713,1713,0,0,1713,1,2,3,856,1,274900
201,20,8,80,8546,1,2,2003,2,0,0,0,1121,1121,1121,0,0,1121,0,2,2,440,5,140000
202,20,6,75,10125,1,1,1977,2,0,641,279,276,1196,1279,0,0,1279,2,6,2,473,1,171500
203,50,6,50,7000,1,2,1924,2,0,617,0,0,617,865,445,0,1310,0,2,1,398,1,112000
204,120,8,21,4438,1,1,2004,2,205,662,0,186,848,848,0,0,848,1,2,2,420,5,149000
205,50,8,50,3500,1,1,1947,2,0,312,0,408,720,720,564,0,1284,0,6,1,240,5,110000
206,20,6,99,11851,1,2,1990,2,0,0,0,1424,1424,1442,0,0,1442,0,2,2,500,1,180500
207,20,6,40,13673,2,3,1962,2,0,0,0,1140,1140,1696,0,0,1696,1,2,1,349,1,143900
208,20,6,21,12493,2,1,1960,2,0,419,306,375,1100,1100,0,0,1100,1,2,1,312,1,141000
209,60,6,21,14364,2,1,1988,2,128,1065,0,92,1157,1180,882,0,2062,1,2,2,454,1,277000
210,20,6,75,8250,1,1,1964,4,260,787,0,305,1092,1092,0,0,1092,0,2,2,504,1,145000
211,30,6,67,5604,1,1,1925,2,0,468,0,396,864,864,0,0,864,0,7,0,0,1,98000
212,20,6,83,10420,1,2,2009,2,0,36,0,1176,1212,1212,0,0,1212,0,2,2,460,1,186000
213,60,3,72,8640,1,1,2009,2,0,822,0,78,900,932,920,0,1852,1,2,2,644,6,252678
214,20,6,43,13568,3,3,1995,2,0,716,0,274,990,990,0,0,990,0,2,2,576,1,156000
215,60,6,21,10900,2,4,1977,2,153,378,0,311,689,689,703,0,1392,0,2,1,299,1,161750
216,20,6,72,10011,2,1,1957,2,64,360,0,710,1070,1236,0,0,1236,1,2,1,447,1,134450
217,20,6,65,8450,1,1,2004,2,266,946,0,490,1436,1436,0,0,1436,0,2,2,484,1,210000
218,70,8,57,9906,1,1,1925,2,0,0,0,686,686,810,518,0,1328,0,6,1,210,5,107000
219,50,6,21,15660,2,2,1939,2,312,341,0,457,798,1137,817,0,1954,2,2,2,431,1,311500
220,120,6,43,3010,1,1,2005,2,16,16,0,1232,1248,1248,0,0,1248,0,2,2,438,6,167240
221,20,6,73,8990,2,1,2006,2,0,0,0,1498,1498,1498,0,0,1498,0,2,2,675,6,204900
222,60,6,21,8068,2,1,2002,2,0,0,0,1010,1010,1010,1257,0,2267,1,4,2,390,1,200000
223,60,6,85,11475,1,1,1975,2,0,550,0,163,713,811,741,0,1552,1,2,2,434,1,179900
224,20,6,70,10500,1,4,1971,2,0,524,180,160,864,864,0,0,864,0,6,2,576,2,97000
225,20,6,103,13472,1,1,2003,4,922,56,0,2336,2392,2392,0,0,2392,1,2,3,968,1,386250
226,160,8,21,1680,1,1,1971,2,142,0,0,630,630,630,672,0,1302,0,6,1,280,1,112000
227,60,6,82,9950,2,1,1995,2,290,565,0,638,1203,1214,1306,0,2520,1,2,3,721,2,290000
228,160,8,21,1869,1,1,1970,2,127,321,0,162,483,483,504,0,987,0,6,1,280,5,106000
229,20,6,70,8521,1,4,1967,2,0,842,0,70,912,912,0,0,912,1,6,1,336,1,125000
230,120,6,43,3182,1,1,2005,2,16,16,0,1357,1373,1555,0,0,1555,1,2,2,430,1,192500
231,20,6,73,8760,1,1,1959,4,220,0,0,1194,1194,1194,0,0,1194,0,2,1,312,1,148000
232,60,6,174,15138,2,1,1995,2,506,689,0,773,1462,1490,1304,0,2794,1,2,3,810,1,403000
233,160,8,21,1680,1,1,1972,2,297,0,0,483,483,483,504,0,987,1,2,1,288,5,94500
234,20,6,75,10650,1,2,1976,2,0,182,712,0,894,894,0,0,894,0,2,1,308,1,128200
235,60,6,21,7851,1,1,2002,2,21,625,0,235,860,860,1100,0,1960,2,4,2,440,1,216500
236,160,8,21,1680,1,1,1971,2,604,358,0,125,483,483,504,0,987,0,6,1,264,5,89500
237,20,6,65,8773,1,4,2004,2,98,24,0,1390,1414,1414,0,0,1414,0,2,2,494,1,185500
238,60,6,21,9453,2,3,1993,2,0,402,0,594,996,1014,730,0,1744,0,2,2,457,1,194500
239,20,6,93,12030,1,1,2007,4,254,0,0,1694,1694,1694,0,0,1694,0,2,3,818,6,318000
240,50,6,52,8741,1,1,1945,2,0,94,0,641,735,798,689,0,1487,1,6,1,220,1,113000
241,20,3,75,9000,1,1,2008,2,36,1078,0,488,1566,1566,0,0,1566,0,2,2,750,1,262500
242,30,8,40,3880,1,1,1945,2,0,329,0,357,686,866,0,0,866,0,7,0,0,5,110500
243,50,8,63,5000,1,2,1900,2,0,0,0,540,540,889,551,0,1440,0,2,1,352,5,79000
244,160,6,75,10762,1,2,1980,2,0,0,0,626,626,626,591,0,1217,1,2,1,288,1,120000
245,60,6,21,8880,2,1,1994,2,0,695,0,253,948,1222,888,0,2110,2,2,2,463,1,205000
246,20,6,80,10400,1,1,1988,2,102,929,0,916,1845,1872,0,0,1872,1,2,2,604,1,241500
247,190,8,69,9142,1,1,1910,2,0,0,0,1020,1020,908,1020,0,1928,0,6,1,440,5,137000
248,20,6,75,11310,1,1,1954,4,0,0,0,1367,1367,1375,0,0,1375,1,2,2,451,1,140000
249,60,6,72,11317,1,1,2003,2,101,0,0,840,840,840,828,0,1668,0,2,2,500,1,180000
250,50,6,21,159000,3,3,1958,2,472,697,0,747,1444,1444,700,0,2144,2,2,2,389,1,277000
251,30,6,55,5350,2,1,1940,2,0,0,0,728,728,1306,0,0,1306,0,7,0,0,1,76500
252,120,8,44,4750,2,1,2006,4,481,1573,0,0,1573,1625,0,0,1625,1,2,2,538,5,235000
253,60,6,65,8366,2,1,2004,2,0,0,0,798,798,798,842,0,1640,0,2,2,520,1,173000
254,80,6,85,9350,1,1,1964,4,108,270,580,452,1302,1302,0,0,1302,0,2,1,309,1,158000
255,20,6,70,8400,1,1,1957,2,0,922,0,392,1314,1314,0,0,1314,0,2,1,294,1,145000
